code,description,unit,category,marked
182798,YELLOW ENAMEL 325g,EACH,ENAMEL SPRAY PAINT,
182492,HEAVY DUTY GREY PRIMER 400g SPRAY PAINT,EACH,HEAVY DUTY SPRAY PAINT,
206942,SILVER BRIGHT SPRAY PAINT 350g,EACH,HEAVY DUTY SPRAY PAINT,
207196,SPRAY PAINT COLD GAL 400g,EACH,HEAVY DUTY SPRAY PAINT,
118201,PAINT BRUSH 25mm,EACH,PAINT BRUSH,
118202,PAINT BRUSH 50mm,EACH,PAINT BRUSH,
118203,PAINT BRUSH 75mm,EACH,PAINT BRUSH,
118204,PAINT BRUSH 100mm,EACH,PAINT BRUSH,
182921,PAINT ROLLER SLEEVE 230mm,EACH,PAINT ROLLER,
182940,PAINT ROLLER 130mm,EACH,PAINT ROLLER,
182941,PAINT ROLLER 230mm,EACH,PAINT ROLLER,
206904,PAINT ROLLER SLEEVE 130mm,3 TO A PACK,PAINT ROLLER,
182961,PAINT SCRAPPER 50mm,EACH,PAINT SCRAPPER,
182962,PAINT SCRAPPER 75mm,EACH,PAINT SCRAPPER,
207119,MASKING TAPE 50mm x 50m,EACH,MASKING TAPE,
207182,CLEAR PACKING TAPE 48mm x 75M,EACH,ADHESIVE TAPE,
207222,BLACK DENSO TAPE PVC 931 PETROGUARD,EACH,ADHESIVE TAPE,
207227,ASBESTOS BLACK/YELLOW ADHESIVE TAPE,EACH,ADHESIVE TAPE,
207516,ADHESIVE LCC AWARE TAPE,EACH,ADHESIVE TAPE,
207565,DOCUMENT BINDING TAPE CLOTH BLACK 50mm,EACH,ADHESIVE TAPE,
223302,DUCT TAPE SILVER/GREY 50mm x 30m,EACH,ADHESIVE TAPE,
223502,INSULATION / ELECTRICAL TAPE BLACK,EACH,ADHESIVE TAPE,
207160,FLAGGING TAPE HOT PINK,EACH,NON-ADHESIVE TAPE,
207517,NON-ADHESIVE LCC AWARE TAPE,EACH,NON-ADHESIVE TAPE,
223152,BARRIER HAZARD TAPE YELLOW/BLACK 75x100m,EACH,NON-ADHESIVE TAPE,
223710,THREAD TEFLON PLUMBERS TAPE,EACH,NON-ADHESIVE TAPE,
223801,ASBESTOS BARRIER TAPE YELLOW/BLACK,EACH,NON-ADHESIVE TAPE,
207163,INFORMATION TAG,EACH,INFO CAUTION TAGS,
207164,YELLOW – CAUTION OUT OF SERVICE TAG,EACH,INFO CAUTION TAGS,
207165,RED – DO NOT OPERATE TAG,EACH,INFO CAUTION TAGS,
169201,MARKING PEN BLACK,EACH,INDUSTRIAL MARKERS,
169301,LUMBER CRAYON YELLOW,"EACH (1 Crayon, 12 to a Box)",INDUSTRIAL MARKERS,
174152,SHRINKWRAP 500mm x 400m x 23UM CLEAR,EACH,PALLET PACKAGING,
129703,PRESSURE PUMP SPRAY BOTTLE 1 LITRE,EACH,SPRAY BOTTLES,
129706,PLASTIC TRIGGER SPRAY BOTTLE 500ML,EACH,SPRAY BOTTLES,
207350,SPRAY BOTTLE 5LT WITH SHOULDER STRAP,EACH,SPRAY BOTTLES,
106100,BATTERY AAA,EACH,BATTERY / TORCH,
106101,BATTERY AA,EACH,BATTERY / TORCH,
106151,BATTERY C,EACH,BATTERY / TORCH,
106201,BATTERY D,EACH,BATTERY / TORCH,
106251,BATTERY 6 VOLT (SUITABLE FOR TORCH),EACH,BATTERY / TORCH,
106252,BATTERY 9V,EACH,BATTERY / TORCH,
153151,TORCH DOLPHIN LED,EACH,BATTERY / TORCH,
208508,BATTERY CR2032,EACH,BATTERY / TORCH,
174002,4 PLUG SURGE POWER BOARD,EACH,ELECTRICAL,
174003,3 METRE EXTENSION LEAD H/DUTY,EACH,ELECTRICAL,
207112,5 METRE EXTENSION LEAD,EACH,ELECTRICAL,
145005,SHARPS CONTAINER 1.4L,EACH,FIRST AID,
145031,BAND-AID PKT 100,PKT,FIRST AID,
145035,BANDAGE CONFORMING 7.5cm x 1.8m,EACH,FIRST AID,
145054,TRIANGULAR BANDAGE,EACH,FIRST AID,
145082,STERILE COMBINE PAD 10cm X 20cm,EACH,FIRST AID,
145184,NON-ADHERENT PAD 7.5cm X 10cm,EACH,FIRST AID,
145186,WOUND DRESSING No.13,EACH,FIRST AID,
145187,NON-ADHERENT DRESSING 10cm X 10cm,EACH,FIRST AID,
145188,NON-ADHERENT PAD 5cm X 7.5cm,EACH,FIRST AID,
145251,ANTISEPTIC CREAM 1g SATCHEL,EACH,FIRST AID,
145301,REFILL FOR INDUSTRIAL FIRST AID KIT,EACH,FIRST AID,
145303,FIRST AID KIT – LARGE INDUSTRIAL,EACH,FIRST AID,
145343,SALINE SOLUTION 15ml,EACH,FIRST AID,
145345,EYE PAD,EACH,FIRST AID,
145401,FIRST AID KIT – SMALL GLOVE BOX,EACH,FIRST AID,
145402,SNAKE BITE KIT,EACH,FIRST AID,
145431,ANTISEPTIC RAPID SPRAY 50ml,EACH,FIRST AID,
145542,FIRST AID STICKER 15cm X 15cm,EACH,FIRST AID,
145581,MEDICAL SCISSORS FIRST AID,EACH,FIRST AID,
145601,FIRST AID TAPE SURG 2.5cm x 9M,EACH,FIRST AID,
145611,STINGOES GEL 25g,EACH,FIRST AID,
159302,TONGS FOR SHARPS CONTAINER,EACH,FIRST AID,
207066,INSTANT COLD PACK,EACH,FIRST AID,
207101,SPLINTER PROBES DISPOSABLE,PKT (5 in a packet),FIRST AID,
207103,GAUZE SWABS STERILE 7.5cm x 7.5cm,EACH,FIRST AID,
207104,IODINE POVIDONE PREP PADS,PKT (100 SACHET),FIRST AID,
207121,100PK ALCO WIPES,PKT (100 SACHETS),FIRST AID,
207169,BURN AID CREAM 3.5g SACHET,EACH,FIRST AID,
207488,TICK REMOVER,EACH,FIRST AID,
208234,TICK TOX FREEZE SPRAY,EACH,FIRST AID,
208268,SHARPS CONTAINER 5L,EACH,FIRST AID,
208447,MODULAR TRAUMA DRESSING,EACH,FIRST AID,
207032,LCC TAKE FIVE BOOKS,EACH,ENVELOPES & LETTER HEAD,
207143,ENVELOPE C4 POCKET PLAIN FACE PEAL&SEAL,BOX 250,ENVELOPES & LETTER HEAD,
207144,ENVELOPE DLX BARCODE WINDOW FACE SELF SEAL,BOX 500,ENVELOPES & LETTER HEAD,
207145,ENVELOPE DLX PLAIN FACE SELF SEAL,BOX 500,ENVELOPES & LETTER HEAD,
207146,ENVELOPE DLX BARCODE WINDOW FACE LICK&STICK,BOX 1000,ENVELOPES & LETTER HEAD,
207147,ENVELOPE C4 POCKET WINDOW FACE PEAL&SEAL,BOX 250,ENVELOPES & LETTER HEAD,
207148,ENVELOPE C5 162 x 229mm PLAIN FACE,BOX 500,ENVELOPES & LETTER HEAD,
207149,ENVELOPE B4 PLAIN FACE PEAL&SEAL,BOX 250,ENVELOPES & LETTER HEAD,
207151,ENVELOPE DL REPLY PAID SELF SEAL,BOX 500,ENVELOPES & LETTER HEAD,
207152,ENVELOPE DLX TO THE H/HOLD P/F L/S,BOX 1000,ENVELOPES & LETTER HEAD,
207155,LCC LETTERHEADS,REAM 500 A4 Sheets,ENVELOPES & LETTER HEAD,
208146,ENVELOPE DLX BARCODE WINDOW FACE LICK n STICK,BOX 1000,ENVELOPES & LETTER HEAD,
129510,1 PLY TOILET PAPER,CTN,HAND TOWELS / TOILET ROLLS / TISSUES,
207117,INTERLEAF HAND TOWEL,CTN (40 cartons make a pallet),HAND TOWELS / TOILET ROLLS / TISSUES,
207123,HAND TOWEL ROLLS,CTN,HAND TOWELS / TOILET ROLLS / TISSUES,
207125,TISSUES,EACH (48 tissues make a carton),HAND TOWELS / TOILET ROLLS / TISSUES,
207218,2 PLY TOILET PAPER,CTN,HAND TOWELS / TOILET ROLLS / TISSUES,
207219,JUMBO 2PLY TOILET PAPER ROLLS,PKT (8 rolls per pkt),HAND TOWELS / TOILET ROLLS / TISSUES,
207468,BRIGHTON HAND TOWEL (RCM ONLY),CTN,HAND TOWELS / TOILET ROLLS / TISSUES,
208500,DISPENSER FOR INTERLEAF,EACH,HAND TOWELS / TOILET ROLLS / TISSUES,
128404,500ml EUCA INDUSTRIAL HAND CLEANER,EACH,HAND SOAP,
128411,5 LITRE CIT GRIT HEAVY DUTY HAND CLEANER,EACH,HAND SOAP,
128412,PINK LIQUID SOAP,EACH,HAND SOAP,
145506,LIQUID ANTI-BACTERIAL SOAP,EACH,HAND SOAP,
207655,PUMP NOZZLE TO SUIT 5L BOTTLE,EACH,HAND SOAP,
208107,ANTI-BAC HAND SOAP,EACH,HAND SOAP,
208287,FOAM HAND WASH FOR DISPENSER,EACH,HAND SOAP,
208288,SOAP DISPENSER,EACH,HAND SOAP,
128407,SMALL HAND SANITISER,EACH,HAND SANITISER GEL,
128413,HAND SANITISER 500ml,EACH,HAND SANITISER GEL,
128251,CHAMOIS CAR / TRUCK,EACH,WIPES / RAGS,
128455,WYPALL HAND TOWEL,EACH,WIPES / RAGS,
128456,HEAVY DUTY HAND CLEANING WIPES SWARFEGA,EACH,WIPES / RAGS,
128704,SOAP PADS STEELO (pkt of 12),EACH,WIPES / RAGS,
128705,SCOURING / SPONGE PAD GREEN,EACH,WIPES / RAGS,
129002,CLOTH CHUXS 60cm X 45cm Pkt of 20,EACH,WIPES / RAGS,
174252,BAG OF RAGS T.SHIRT 10kg,EACH,WIPES / RAGS,
207353,WET WIPES PKT 80,EACH,WIPES / RAGS,
207676,WIPES ANTIBACTERIAL PKT 80,EACH,WIPES / RAGS,
207981,WOODEN SPOONS 1000,EACH,WIPES / RAGS,
208241,SCOURER PAD GREEN (10 PACK),EACH,WIPES / RAGS,
208507,WYPALL WALL MOUNTED DISPENSER,EACH,WIPES / RAGS,
128151,TRUCK/CAR WASH 20LT DRUM,EACH,CLEANING,
128378,FURNITURE POLISH 250GM CLEANER,EACH,CLEANING,
128702,GUMPTION PASTE 500G,EACH,CLEANING,
128703,DISHWASHING TABLET FINISH 110 TABS,EACH,CLEANING,
129705,WINDOW / SURFACE SPRAY CLEANER,EACH,CLEANING,
169471,TRUCK/CAR WASH 1 LT BOTTLE,EACH,CLEANING,
169472,CAR / TRUCK VINYL PROTECTANT,EACH,CLEANING,
207649,DISHWASHING LIQUID 5LT,EACH,CLEANING,
207651,DISHWASHER CLEANER 250ML,EACH,CLEANING,
208106,ANTIBACTERIAL SPRAY CLEANER 750ml GERMGUARD,EACH,CLEANING,
208117,REDBACK CLEANING ABRASIVE,EACH,CLEANING,
208255,FINISH RINSE-AID REGULAR 500ml,EACH,CLEANING,
208256,DISHWASHER SALT 2KG,EACH,CLEANING,
208501,TYRE SHINE,EACH,CLEANING,
169844,GLEN 20 DISINFECTANT SPRAY 300gm,EACH,DISINFECTANTS,
207109,DISINFECTANT EUCA 5LT,EACH,DISINFECTANTS,
208227,DISINFECTANT 15LT DRUM LEMON,EACH,DISINFECTANTS,
169500,AIR FRESHENER SPRAY FOR CAR / TRUCK,EACH,DEODORIZERS,
207064,AIROMA COOL FRAGRANCE REFILL,EACH,DEODORIZERS,
207212,AIROMA MYSTIQUE FRAGRANCE REFILL,EACH,DEODORIZERS,
207364,TOILET URINAL BLOCKS 4KG,EACH,DEODORIZERS,
207500,PORTA-LOO (TOILET) BOWL DEODORIZER 1LT,EACH,DEODORIZERS,
207510,CHLORINE TABLETS NON EFFERVESCENT 200TAB,EACH,DEODORIZERS,
208212,DISPENSER FOR AIROMA FRAGRANCE REFILLS,EACH,DEODORIZERS,
117101,BROOM HEAD – SCAVENGER ROAD NYLON,EACH,BROOMS / MOPS / BRUSHES,
117201,BROOM HEAD – HOUSEHOLD SOFT 300MM SMALL,EACH,BROOMS / MOPS / BRUSHES,
117401,BROOM HEAD – WAREHOUSE SOFT 600MM LARGE INCL HANDLE,EACH,BROOMS / MOPS / BRUSHES,
118051,BANNISTER HAND BRUSH PLASTIC,EACH,BROOMS / MOPS / BRUSHES,
128951,DUSTPAN AND BRUSH SET,EACH,BROOMS / MOPS / BRUSHES,
129101,MOP HEAD,EACH,BROOMS / MOPS / BRUSHES,
159151,BROOM HANDLE PLASTIC 22MM SCREW THREAD,EACH,BROOMS / MOPS / BRUSHES,
206903,HANDLE FOR SCAVENGER BROOM – WOODEN 25mm,EACH,BROOMS / MOPS / BRUSHES,
119101,GALVANISED BUCKET 9 LITRE,EACH,BINS / BUCKETS / BAGS,
119301,PLASTIC BUCKET 9 LITRE,EACH,BINS / BUCKETS / BAGS,
172301,RUBBISH BIN GALVANISED 55LT WITH LID,EACH,BINS / BUCKETS / BAGS,
172302,RUBBISH BIN PLASTIC 73LT WITH LID,EACH,BINS / BUCKETS / BAGS,
207110,GARBAGE / RUBBISH BAGS 82LT (Pkt of 50),EACH,BINS / BUCKETS / BAGS,
207113,GARBAGE / RUBBISH BAGS ROLL 36LT WHITE (Pkt of 50),EACH,BINS / BUCKETS / BAGS,
207115,GARBAGE / RUBBISH BAGS 240LT (Pkt of 50),EACH,BINS / BUCKETS / BAGS,
145241,HOSPITAL SKIN CARE LOTION,EACH,SKIN / BARRIER CREAM,
145246,BARRIER CREAM TUBE,EACH,SKIN / BARRIER CREAM,
145442,CLEAR ZINKE TUBE,EACH,SUNSCREEN,
145482,SUNSCREEN 50+ TUBE 125ml,EACH,SUNSCREEN,
207122,LIP BALM,EACH,SUNSCREEN,
207356,SPRAY ON SUNSCREEN,EACH,SUNSCREEN,
207084,RID INSECT REPELLENT SPRAY,EACH,INSECT REPELLENT,
207487,BUSHMAN INSECT REPEL GEL,EACH,INSECT REPELLENT,
215459,BUSHMAN INSECT REPELLENT SPRAY,EACH,INSECT REPELLENT,
125402,WASP KILLER SPRAY 345G,EACH,PEST CONTROL,
125403,FLY SPRAY PEA BEU AIRBORNE FAST KILL,EACH,PEST CONTROL,
207208,FLY SPRAY MORTEIN SURFACE SPRAY BLACK,EACH,PEST CONTROL,
208230,ANT SAND PESTICIDE,EACH,PEST CONTROL,
208232,FIRE ANT BAIT 1KG,EACH,PEST CONTROL,
208513,INITIATOR INSECTICIDE & FERTILIZER TABS 3kg,EACH,PEST CONTROL,
192802,GRASS SEED 5KG LCC MIX,EACH,GRASS SEED / GARDEN SOIL,
207206,GRASS SEED 25KG LCC MIX,EACH,GRASS SEED / GARDEN SOIL,
208515,GARDEN SOIL 25lt,EACH (72 bags/pallet),GRASS SEED / GARDEN SOIL,
192404,WEEDKILLER 20LT DRUM BIACTIVE,EACH,FERTILIZERS / WEEDKILLERS,
207375,WEED N FEED 4LTR LIQUID,EACH,FERTILIZERS / WEEDKILLERS,
207376,ECO88s FERTILIZER 25kg,EACH,FERTILIZERS / WEEDKILLERS,
207568,LIQUID GRASS FEED (POWERFEED) 5LTR,EACH,FERTILIZERS / WEEDKILLERS,
207569,PLANT FOOD (SEASOL) 5LTR,EACH,FERTILIZERS / WEEDKILLERS,
146501,FILE RASP HORSE 350MM COARSE,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
152701,COMBINATION PLIERS 200mm,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
152751,PLIERS FENCING / ENGINEERING 300mm,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
152852,GIBAULT RATCHET (podgy bar) 22mm TO 24mm,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
168877,SIDE CUTTERS 200mm,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
168973,NIPPERS END CUT 200mm,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
1699172,MULTIGRIPS 250mm,EACH   [note: code length unusual — catalogue as printed],TOOLS & HARDWARE — WRENCHES & PLIERS,
208271,HANDLE FOR RASP FILE,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
215410,150MM WRENCH ADJUSTABLE / SHIFTER,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
215411,200MM WRENCH ADJUSTABLE / SHIFTER,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
215412,300MM WRENCH ADJUSTABLE / SHIFTER,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
216610,WRENCH FOOTPRINT 300MM,EACH,TOOLS & HARDWARE — WRENCHES & PLIERS,
112081,HACKSAW BLADE 300mm 24T,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
126201,COLD CHISEL 25mm x 25cm LONG,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
152551,MATTOCK HEAD,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
158101,SLEDGEHAMMER 14lb,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
158301,CLAW HAMMER,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
158501,CLUB HAMMER / LUMP HAMMER,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
158601,SLEDGEHAMMER 7lb,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
159601,MATTOCK HANDLE 900mm WOODEN,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
204101,HACKSAW FRAME COMPLETE WITH BLADE,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
204201,HAND SAW FOR TIMBER,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
206944,HAND SAW FOR PVC,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
207074,AXE,EACH,TOOLS & HARDWARE — HAMMERS / AXE / SAWS,
112001,STANLEY REPLACEMENT KNIFE BLADES,PKT,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
112545,STANLEY KNIFE,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
136251,POLLY PIPE CUTTERS,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
136252,SECATEURS / PRUNING SHEARS,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
136301,TINSNIPS STRAIGHT CUT 250mm,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
204403,PRUNING SAW 24CM 621,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
207374,630 PRUNING SAW 33cm,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
207570,BLADE REPLACEMENT SMALL FELCO SAW 621,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
207571,BLADE REPLACEMENT LARGE FELCO SAW 630,EACH,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
208108,SABRE SAW BLADE 305mm WOOD,PKT,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
208109,SABRE SAW BLADE 300mm METAL/PVC,PKT,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
208110,SABRE SAW BLADE 240mm GREEN WOOD 3TPI,PKT,TOOLS & HARDWARE — KNIVES / SAWS / CUTTERS,
136102,BOLT CUTTERS 90mm,EACH,TOOLS & HARDWARE — FASTENERS / GREASE,
160101,FLEXI HOSE FOR GREASE GUN 430mm,EACH,TOOLS & HARDWARE — FASTENERS / GREASE,
173201,GREASE GUN – TRIGGER TYPE FLEXI HOSE,EACH,TOOLS & HARDWARE — FASTENERS / GREASE,
179101,GREASE GUN COUPLER,EACH,TOOLS & HARDWARE — FASTENERS / GREASE,
207135,NUT & BOLT HEX GAL 75mm x 16mm,BOX,TOOLS & HARDWARE — FASTENERS / GREASE,
207136,NUT & BOLT HEX GAL 65mm x 16mm,BOX,TOOLS & HARDWARE — FASTENERS / GREASE,
207204,BOLT EXCALIBER M10 x 120mm,CTN,TOOLS & HARDWARE — FASTENERS / GREASE,
207205,DRIVE PIN GALVANISED 300mm SPLITTER (20 IN CTN),CTN,TOOLS & HARDWARE — FASTENERS / GREASE,
207226,GREASE CARTRIDGE 450gm,EACH,TOOLS & HARDWARE — FASTENERS / GREASE,
208285,WASHER GAL M16,BOX OF 200,TOOLS & HARDWARE — FASTENERS / GREASE,
118351,WIRE BRUSH 5 ROW,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
139242,MASONRY DRILL BIT HAMMER 13mm x 260mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
139243,MASONRY DRILL BIT HAMMER 12mm x 230mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
139245,MASONRY DRILL BIT HAMMER 10mm x 460mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
205110,SCREWDRIVER FLAT BLADE 150mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
205115,SCREWDRIVER FLAT BLADE 200mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
205220,SCREWDRIVER FLAT BLADE 250mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
205310,SCREWDRIVER PHILLIPS / STAR HEAD 150mm,EACH,TOOLS & HARDWARE — DRILLING / DRIVING,
101302,NO MORE NAILS / LIQUID NAILS,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
101303,SILICONE ROOF & GUTTER CLEAR 310g,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
165102,SPIRIT LEVEL 120CM,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
207003,SIKAFLEX PRO BLACK SAUSAGE / TUBE 600ml,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
207171,NOZZLE FOR SIKAFLEX TUBE (Pkt of 3),PKT,TOOLS & HARDWARE — MEASURING / SEALANT,
207345,CAULKING GUN FOR SIKAFLEX SAUSAGE,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
223411,TAPE MEASURE 5mt METRIC,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
223421,TAPE MEASURE 7.5mt METRIC,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
223431,TAPE MEASURE 10mt METRIC,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
223452,TAPE MEASURE 30mt,EACH,TOOLS & HARDWARE — MEASURING / SEALANT,
173301,CAULKING / SILICONE GUN,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
174004,PADLOCK 4 PACK,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
174005,PADLOCK,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
207230,GRIPCRETE 1 LITRE DIGGERS SEALING AGENT,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
207366,MEGAPOXY PM NATURAL 1LT,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
207554,CUTTING DISC 125x1.6x22.23mm,PACK OF 10,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
207555,DIAMOND BLADE DISC 125x2.1x22.23mm,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
208017,FAN FLAP DISC 125 x 60 GRIT BLUE,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
208018,FAN FLAP DISC 125 x 120 GRIT GP ZIR PSF BLU,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
208150,DISC GRINDING METAL 125x6x22.23mm,EACH,TOOLS & HARDWARE — GRINDING / PADLOCK / ADHESIVE,
178101,CLOUT GALVANISED 25mm x 2.8mm (500g PKT),PKT,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
201501,STRING LINE NYLON BUILDERS 100mm,EACH,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
207102,TIE WIRE 1.60mm X 5kg ROLL,ROLL,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
207187,GAL PINS DOWEL 12mm x 300mm (BUNDLE OF 50),BUNDLE,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
207372,TIE WIRE 1.60mm X 5kg ROLL,EACH,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
289301,TIE WIRE 1.60mm X 1kg ROLL,ROLL,TOOLS & HARDWARE — WIRE / PEGS / NAILS,
133051,CONCRETE EDGER,EACH,CONCRETE — SPACERS / TROWELS / MIX,
133251,FLOAT WOODEN HANDLE 112mm X 450mm,EACH,CONCRETE — SPACERS / TROWELS / MIX,
133651,"TROWEL POINTING SMALL 150mm / 6""",EACH,CONCRETE — SPACERS / TROWELS / MIX,
133801,TROWEL POINTED 405mm X 115mm,EACH,CONCRETE — SPACERS / TROWELS / MIX,
172451,RAPID SET CONCRETE 20kg BAG (EASY MIX),BAG (48/pallet),CONCRETE — SPACERS / TROWELS / MIX,
172452,CEMENT GENERAL PURPOSE 20kg BAG,BAG (48/pallet),CONCRETE — SPACERS / TROWELS / MIX,
172454,MORTA 20kg BAG (EASY MIX),BAG (48/pallet),CONCRETE — SPACERS / TROWELS / MIX,
183412,BAR CHAIRS PLASTIC 25-40 (bag of 100),BAG,CONCRETE — SPACERS / TROWELS / MIX,
183413,BAR CHAIRS PLASTIC 50-65 (bag of 100),BAG,CONCRETE — SPACERS / TROWELS / MIX,
183414,BAR CHAIRS PLASTIC 70-90 (bag of 100),BAG,CONCRETE — SPACERS / TROWELS / MIX,
207172,TILT PANEL SPACER PACKER 1mm BROWN,EACH,CONCRETE — SPACERS / TROWELS / MIX,
207173,TILT PANEL SPACER PACKER 2mm BLUE,EACH,CONCRETE — SPACERS / TROWELS / MIX,
207174,TILT PANEL SPACER PACKER 5mm YELLOW,EACH,CONCRETE — SPACERS / TROWELS / MIX,
207175,TILT PANEL SPACER PACKER 10mm BLACK,EACH,CONCRETE — SPACERS / TROWELS / MIX,
